Simulation results (a),,Simulation results (b),,Simulation results (c),,Formula prediction,
Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db)
13.13594,71.89825,13.67956,69.92259,,,13.67901,69.84137
13.53252,71.72371,13.67956,69.72041,,,13.67901,69.84137
13.67558,69.47957,13.72877,72.52892,,,13.67956,69.84097
13.67558,69.16595,14.47601,71.83921,,,13.67956,69.84097
14.21233,71.58514,15.17438,70.87951,,,13.72877,69.80506
14.976,72.42536,15.33298,71.20204,,,14.47601,69.27507
15.13117,70.52705,15.49163,71.33963,,,15.17438,68.80391
15.62886,71.77852,15.52402,70.91576,,,15.33298,68.69994
15.97026,71.91327,15.78696,71.09406,,,15.49163,68.597
15.98981,70.03182,15.91357,70.5403,,,15.52402,68.57611
16.12708,71.05755,16.03594,70.98819,,,15.78696,68.40816
16.16452,72.0675,16.25514,69.99666,,,15.91357,68.32828
16.25197,70.64559,16.37786,70.33335,,,16.03594,68.25168
16.28194,70.98364,17.02683,70.07659,,,16.25514,68.11591
16.62062,69.73014,17.18319,69.95024,,,16.37786,68.04069
16.63649,70.08621,17.45505,71.04524,,,17.02683,67.6521
17.12431,71.54511,17.73389,71.05787,,,17.18319,67.56068
17.32591,70.25355,17.81083,68.54389,,,17.45505,67.40371
17.44585,70.68129,18.0317,69.55941,,,17.73389,67.24522
17.52783,71.17508,18.15772,69.15011,,,17.81083,67.20193
17.76423,68.23043,18.51968,68.24571,,,18.0317,67.07869
17.91513,70.6393,20.26586,68.42766,,,18.15772,67.00904
19.26735,67.36713,20.47696,66.53198,,,18.51968,66.81166
20.40023,66.56024,20.58976,68.67875,,,20.26586,65.91062
20.63021,68.36952,21.32951,66.62389,,,20.47696,65.80699
21.44507,66.11483,21.94637,64.59567,,,20.58976,65.75206
21.77336,68.82682,21.94637,64.99658,,,21.32951,65.39909
21.94197,64.79471,22.17652,66.46192,,,21.94576,65.11426
21.94197,65.51531,23.23293,66.66443,,,21.94576,65.11426
22.37852,66.50506,24.49639,66.53656,,,21.94637,65.11398
22.38257,66.37807,24.5046,65.77709,,,21.94637,65.11398
24.09874,67.86935,24.54777,66.58937,,,22.17652,65.00966
24.42439,67.67409,24.74422,66.48099,,,23.23293,64.5443
24.57297,66.43431,24.7572,66.51775,,,24.49639,64.01474
24.74851,67.1764,24.90695,65.77546,,,24.5046,64.01139
24.88571,65.50262,25.10561,66.35415,,,24.54777,63.99379
25.05396,65.24244,25.28944,66.65364,,,24.74422,63.91408
25.06079,66.72357,25.40049,63.99776,,,24.7572,63.90884
25.37274,65.21069,25.43559,64.10233,,,24.90695,63.84853
25.45831,64.77068,25.55448,63.75753,,,25.10561,63.76909
25.53222,66.41467,27.21894,62.73016,,,25.28944,63.69613
25.72642,68.79909,27.4168,63.49709,,,25.40049,63.65232
25.8029,65.0955,27.80755,63.56633,,,25.43559,63.6385
26.54159,69.3179,28.03517,64.09779,,,25.55448,63.59188
27.58842,63.92252,28.36317,64.86149,,,25.70973,63.5313
27.77091,64.58763,30.95209,60.98434,,,26.38313,63.27275
28.05223,63.97528,31.30469,64.3756,,,27.21894,62.96087
28.2913,64.491,31.32025,59.36404,,,27.4168,62.88844
29.32949,62.87669,31.32025,60.24596,,,27.80755,62.74693
31.31726,60.40319,33.22573,62.77327,,,28.03517,62.6654
31.31726,61.66361,33.22573,62.79366,,,28.36317,62.54909
31.41197,64.71826,33.75122,60.4105,,,30.95209,61.6756
31.84697,61.95745,33.87693,61.12622,,,31.30469,61.56232
33.22573,61.84729,33.9603,61.57199,,,31.31984,61.55748
33.22573,62.75789,34.79301,60.08581,,,31.31984,61.55748
33.87967,60.66928,34.97981,59.3996,,,31.32025,61.55735
34.05372,62.59051,34.99708,59.26869,,,31.32025,61.55735
34.09618,61.04606,35.29379,60.68514,,,33.22573,60.96675
35.07337,59.09842,35.43592,61.4359,,,33.22573,60.96675
35.43722,61.63781,36.15628,59.45199,,,33.75122,60.80983
35.44166,61.7947,40.81353,60.30419,,,33.87693,60.77266
35.61897,67.33838,41.64893,61.44856,,,33.9603,60.74808
35.68476,60.87972,41.67148,60.86062,,,34.79301,60.50583
